,race,sex,LSAT,UGPA,region_first,ZFYA,sander_index,first_pf
0,White,1,39.0,3.1,GL,-0.98,0.782738095238,1.0
1,White,1,36.0,3.0,GL,0.09,0.735714285714,1.0
2,White,2,30.0,3.1,MS,-0.35,0.670238095238,1.0
5,Hispanic,2,39.0,2.2,NE,0.58,0.697023809524,1.0
6,White,1,37.0,3.4,GL,-1.26,0.78630952381,1.0
7,White,1,30.5,3.6,GL,0.3,0.724107142857,1.0
8,White,2,36.0,3.6,GL,-0.1,0.792857142857,1.0
9,White,2,37.0,2.7,NE,-0.12,0.719642857143,0.0
13,White,1,37.0,2.6,GL,1.53,0.710119047619,1.0
14,White,2,31.0,3.6,GL,0.34,0.730357142857,1.0
16,White,2,41.0,3.2,GL,1.53,0.817261904762,1.0
17,White,2,35.0,3.1,GL,-0.68,0.732738095238,1.0
19,White,1,35.0,3.2,NE,-0.17,0.742261904762,1.0
21,White,2,35.0,2.9,NG,-0.42,0.71369047619,1.0
22,White,2,41.0,2.3,NG,-0.35,0.731547619048,1.0
23,White,2,30.5,3.3,GL,0.85,0.695535714286,1.0
24,White,1,36.0,3.0,GL,0.04,0.735714285714,1.0
25,White,2,40.0,3.9,GL,2.48,0.871428571429,1.0
26,White,2,36.0,3.4,GL,0.27,0.77380952381,1.0
27,White,2,29.0,2.7,GL,0.88,0.619642857143,1.0
28,White,2,37.0,3.2,GL,0.58,0.767261904762,1.0
29,White,2,30.0,3.1,MS,1.99,0.670238095238,1.0
30,White,2,40.0,3.1,GL,-0.8,0.795238095238,1.0
31,Asian,2,31.0,3.1,GL,0.51,0.682738095238,1.0
32,White,1,37.0,3.6,GL,0.81,0.805357142857,1.0
33,Black,2,29.0,2.8,NE,-1.03,0.629166666667,1.0
35,White,2,34.0,2.8,GL,-0.12,0.691666666667,1.0
37,White,2,35.0,3.0,NE,-0.61,0.723214285714,1.0
38,White,2,40.0,3.4,GL,-0.73,0.82380952381,1.0
39,White,2,36.0,2.6,NE,-0.63,0.697619047619,1.0
40,White,2,29.0,2.9,MS,-0.02,0.63869047619,1.0
41,White,2,35.0,2.5,NG,0.02,0.675595238095,1.0
43,White,2,32.0,3.4,SE,0.65,0.72380952381,1.0
44,White,1,36.0,2.7,NE,-0.05,0.707142857143,1.0
46,White,2,36.0,3.3,GL,0.53,0.764285714286,1.0
47,White,2,36.0,2.5,MS,-1.1,0.688095238095,0.0
49,White,2,38.0,3.6,GL,1.41,0.817857142857,1.0
50,White,2,36.0,3.6,GL,1.18,0.792857142857,1.0
51,White,2,32.5,3.2,MS,0.76,0.711011904762,1.0
52,White,1,27.0,3.5,GL,-1.05,0.670833333333,0.0
53,White,2,36.0,2.4,GL,0.39,0.678571428571,1.0
56,Black,1,19.0,3.2,GL,-0.7,0.542261904762,0.0
57,White,1,34.0,3.7,GL,1.23,0.777380952381,1.0
58,White,1,35.0,3.1,GL,1.71,0.732738095238,1.0
59,Hispanic,1,31.0,3.2,NG,-0.82,0.692261904762,1.0
60,White,2,36.0,2.8,NE,-0.17,0.716666666667,1.0
61,Other,2,32.0,3.0,GL,-0.63,0.685714285714,1.0
63,White,1,38.0,3.7,GL,-0.05,0.827380952381,1.0
64,White,2,34.0,3.2,Mt,0.37,0.729761904762,1.0
65,White,2,38.0,2.8,GL,0.44,0.741666666667,1.0
66,White,1,36.0,3.4,MS,0.46,0.77380952381,1.0
67,White,1,42.0,3.5,GL,-0.42,0.858333333333,1.0
68,White,2,29.0,2.3,GL,-0.93,0.581547619048,0.0
69,White,2,31.0,3.7,GL,-0.49,0.739880952381,1.0
70,Black,1,23.0,2.6,NE,0.48,0.535119047619,1.0
71,White,2,37.0,3.8,GL,0.72,0.824404761905,1.0
72,White,1,33.0,3.3,GL,-1.24,0.726785714286,1.0
73,White,2,35.0,3.3,GL,-0.7,0.751785714286,1.0
74,White,2,36.0,3.2,NE,0.83,0.754761904762,1.0
76,White,2,35.5,2.4,GL,-0.63,0.672321428571,1.0
77,White,2,41.0,3.4,GL,-0.05,0.83630952381,1.0
78,White,1,34.0,3.5,GL,0.55,0.758333333333,1.0
79,Asian,1,27.0,2.9,GL,-0.77,0.61369047619,1.0
80,White,2,29.0,3.3,NE,-0.98,0.676785714286,0.0
81,White,1,33.0,3.3,GL,1.27,0.726785714286,1.0
82,White,2,32.0,2.9,MS,-0.62,0.67619047619,1.0
83,White,2,39.0,2.3,NE,0.51,0.706547619048,1.0
84,Asian,2,23.0,3.7,FW,-0.17,0.639880952381,1.0
85,White,1,39.0,3.4,GL,-0.56,0.81130952381,1.0
86,White,1,39.0,3.0,GL,-0.42,0.773214285714,1.0
87,White,1,32.0,3.8,NE,-0.08,0.761904761905,1.0
88,White,2,29.0,3.3,FW,-1.19,0.676785714286,0.0
89,White,2,31.0,3.0,GL,-1.07,0.673214285714,1.0
90,White,1,36.0,3.3,GL,-0.49,0.764285714286,1.0
91,Black,2,27.0,2.4,NE,-1.66,0.566071428571,0.0
92,White,2,30.0,3.5,GL,1.39,0.708333333333,1.0
94,White,2,38.0,3.5,FW,2.78,0.808333333333,1.0
95,White,1,34.0,2.8,GL,-0.63,0.691666666667,1.0
96,White,2,37.0,3.7,GL,1.32,0.814880952381,1.0
97,Hispanic,1,36.0,2.7,NE,-1.28,0.707142857143,1.0
98,White,2,43.0,3.0,NE,0.1,0.823214285714,1.0
99,White,2,42.0,2.9,NE,-0.62,0.80119047619,1.0
100,White,2,33.5,3.4,MS,0.69,0.74255952381,1.0
101,White,2,25.0,2.9,NE,-0.9,0.58869047619,1.0
102,White,1,38.0,3.4,NG,1.23,0.79880952381,1.0
103,White,2,42.0,3.6,NE,0.7,0.867857142857,1.0
104,White,2,37.0,3.5,NE,-1.64,0.795833333333,1.0
106,White,2,29.5,3.5,NE,-0.24,0.702083333333,1.0
107,White,2,41.0,3.1,NE,-0.05,0.807738095238,1.0
108,White,1,38.0,3.6,NE,-1.0,0.817857142857,1.0
109,White,1,42.0,3.2,MS,-0.22,0.829761904762,1.0
110,White,1,35.5,3.3,MS,2.26,0.758035714286,1.0
111,White,1,36.0,3.6,NE,-0.85,0.792857142857,1.0
112,White,1,39.0,3.5,NE,-0.71,0.820833333333,1.0
114,White,2,28.0,2.9,NE,-1.96,0.62619047619,0.0
115,White,1,42.0,3.3,NE,-1.13,0.839285714286,1.0
116,White,1,43.0,3.5,NE,0.74,0.870833333333,1.0
117,White,2,43.0,3.1,NE,0.29,0.832738095238,1.0
118,White,2,35.0,3.2,NE,-0.66,0.742261904762,1.0
120,White,2,40.0,3.7,NE,-0.43,0.852380952381,1.0
121,White,1,42.0,2.5,MS,-0.41,0.763095238095,1.0
122,White,1,42.0,2.7,NE,-0.02,0.782142857143,1.0
123,White,1,40.0,3.7,NE,0.21,0.852380952381,1.0
124,White,1,38.0,3.5,NE,1.61,0.808333333333,1.0
125,White,2,40.0,3.3,NE,-0.96,0.814285714286,1.0
126,White,1,39.0,3.5,SC,0.98,0.820833333333,1.0
127,White,1,36.0,3.6,NE,-0.58,0.792857142857,1.0
128,White,1,38.0,3.6,NE,-0.28,0.817857142857,1.0
129,White,2,36.0,3.0,NE,-1.19,0.735714285714,1.0
130,White,2,39.0,3.2,MS,-1.34,0.792261904762,1.0
131,White,1,37.0,3.9,NE,0.55,0.833928571429,1.0
132,White,2,31.5,2.7,MS,0.58,0.650892857143,1.0
133,White,1,41.0,4.0,NE,2.44,0.893452380952,1.0
134,White,2,41.0,3.0,NE,-1.45,0.798214285714,1.0
135,White,1,36.0,3.3,NE,1.04,0.764285714286,1.0
136,White,2,35.0,3.8,NE,-1.11,0.799404761905,1.0
137,White,1,39.0,3.7,NE,-1.58,0.839880952381,1.0
138,White,1,37.0,3.8,NE,0.4,0.824404761905,1.0
140,White,2,37.0,3.1,GL,-0.51,0.757738095238,1.0
141,White,2,36.0,3.8,MS,-0.66,0.811904761905,0.0
142,White,2,40.0,3.3,NE,-0.77,0.814285714286,1.0
144,White,1,45.0,3.3,NE,0.64,0.876785714286,1.0
145,White,2,35.0,2.6,NE,0.02,0.685119047619,1.0
146,White,1,37.0,3.6,NE,-0.02,0.805357142857,1.0
147,White,2,40.0,3.8,NE,0.64,0.861904761905,1.0
148,White,2,39.0,3.4,NE,0.4,0.81130952381,1.0
149,White,2,33.0,3.9,NE,0.59,0.783928571429,1.0
150,White,2,40.0,3.6,NE,0.55,0.842857142857,1.0
151,White,2,38.0,3.8,NE,0.55,0.836904761905,1.0
152,White,1,41.0,3.3,NE,0.64,0.826785714286,1.0
153,White,2,34.0,2.9,MS,-0.25,0.70119047619,1.0
154,White,2,40.0,3.1,NE,1.08,0.795238095238,1.0
156,Asian,1,38.0,3.3,NE,-0.02,0.789285714286,1.0
157,White,1,40.0,3.2,NE,1.89,0.804761904762,1.0
158,White,2,32.5,3.4,NE,-0.17,0.73005952381,1.0
159,White,1,41.0,3.4,NE,0.17,0.83630952381,1.0
160,White,1,37.0,3.5,NE,-0.13,0.795833333333,1.0
161,White,2,41.0,3.3,NE,1.51,0.826785714286,1.0
162,White,1,39.0,3.6,NE,-0.66,0.830357142857,1.0
163,White,2,38.0,3.5,MS,0.42,0.808333333333,1.0
164,White,2,42.0,3.1,NG,0.68,0.820238095238,1.0
165,White,1,37.0,3.6,NE,1.27,0.805357142857,1.0
166,Black,1,32.0,2.8,NE,-1.28,0.666666666667,1.0
167,White,1,39.0,3.6,NE,-0.22,0.830357142857,1.0
168,White,1,32.0,2.8,NG,-1.09,0.666666666667,1.0
169,White,2,41.0,3.1,NE,-0.51,0.807738095238,1.0
170,White,1,36.0,3.7,NE,0.17,0.802380952381,1.0
172,White,2,38.0,3.4,NE,-1.19,0.79880952381,1.0
173,White,2,34.0,3.3,MS,1.02,0.739285714286,1.0
174,White,2,38.0,3.6,NE,0.36,0.817857142857,1.0
175,White,2,43.0,2.9,NG,0.59,0.81369047619,1.0
176,White,1,35.0,3.7,NE,0.64,0.789880952381,1.0
177,Asian,2,37.0,3.6,NE,-0.77,0.805357142857,1.0
178,White,1,37.0,3.9,NE,1.36,0.833928571429,1.0
179,White,2,40.0,3.2,NE,0.59,0.804761904762,1.0
180,White,1,45.0,3.2,NE,1.57,0.867261904762,1.0
181,White,2,39.5,3.3,NE,0.55,0.808035714286,1.0
182,White,2,40.0,3.3,NE,2.15,0.814285714286,1.0
184,White,1,38.0,3.4,NE,-1.0,0.79880952381,1.0
185,White,2,40.0,3.4,NE,1.36,0.82380952381,1.0
186,Mexican,1,32.5,2.8,NE,-0.92,0.672916666667,1.0
187,White,2,36.0,3.7,NE,0.1,0.802380952381,1.0
189,White,1,30.0,3.5,NE,-1.75,0.708333333333,1.0
190,White,2,37.0,3.7,NE,0.74,0.814880952381,1.0
191,Other,1,35.5,3.0,SE,-1.73,0.729464285714,1.0
192,Asian,1,31.0,3.4,MS,-0.23,0.71130952381,1.0
193,White,2,36.0,2.7,SE,-0.36,0.707142857143,1.0
194,White,1,35.0,2.9,SC,1.25,0.71369047619,1.0
195,White,1,28.5,3.2,SE,0.57,0.661011904762,1.0
196,White,2,39.0,2.4,MS,0.16,0.716071428571,1.0
197,White,1,41.0,3.9,SE,1.17,0.883928571429,1.0
198,White,2,29.0,3.5,SE,0.2,0.695833333333,1.0
199,White,2,36.5,3.1,SE,-0.56,0.751488095238,1.0
200,White,2,39.0,3.8,MS,-0.32,0.849404761905,1.0
201,White,2,36.0,3.0,MS,0.36,0.735714285714,1.0
202,White,2,36.0,2.9,SE,-0.8,0.72619047619,1.0
203,White,2,36.0,2.9,SE,0.89,0.72619047619,1.0
204,White,2,37.0,2.8,SE,0.77,0.729166666667,1.0
205,White,2,38.0,3.2,SE,0.48,0.779761904762,1.0
206,White,2,31.5,3.1,SE,0.36,0.688988095238,1.0
207,White,2,37.0,3.1,SE,0.0,0.757738095238,1.0
208,White,2,26.7,3.3,SE,-0.41,0.648035714286,1.0
209,Black,1,32.0,3.7,SE,-0.85,0.752380952381,1.0
210,White,1,31.0,3.0,SE,0.44,0.673214285714,1.0
211,White,1,32.7,3.1,MS,0.2,0.703988095238,1.0
212,White,2,35.0,3.2,SE,-0.28,0.742261904762,1.0
213,White,1,31.0,3.2,SE,2.48,0.692261904762,1.0
214,White,2,33.0,3.0,MS,-0.4,0.698214285714,1.0
215,White,1,33.0,3.1,SE,0.61,0.707738095238,1.0
216,White,2,34.5,2.9,SE,0.52,0.70744047619,1.0
217,White,1,39.0,4.1,SE,1.25,0.877976190476,1.0
218,White,2,34.0,3.1,SE,-0.6,0.720238095238,1.0
